year,month,category,avg_salary,monthly_expenses,Amount,rate,month_year
2019,9,food_drink,1087.65,-7.2,-7.2,0.01,2019 9
2019,10,other,1087.65,-1067.63,-56.28,0.04,2019 10
2019,10,tech,1087.65,-1067.63,-892.46,0.7,2019 10
2019,10,travel,1087.65,-1067.63,-118.89,0.09,2019 10
2019,11,food_drink,1087.65,-1437.8600000000001,-193.49,0.15,2019 11
2019,11,other,1087.65,-1437.8600000000001,-226.1,0.18,2019 11
2019,11,rent_ai,1087.65,-1437.8600000000001,-385.0,0.3,2019 11
2019,11,tech,1087.65,-1437.8600000000001,-20.0,0.02,2019 11
2019,11,travel,1087.65,-1437.8600000000001,-613.27,0.48,2019 11
2019,12,entairtainment,1087.65,-1277.48,-41.38,0.03,2019 12
2019,12,food_drink,1087.65,-1277.48,-144.18,0.11,2019 12
2019,12,other,1087.65,-1277.48,-300.0,0.23,2019 12
2019,12,rent_ai,1087.65,-1277.48,-770.0,0.6,2019 12
2019,12,travel,1087.65,-1277.48,-21.92,0.02,2019 12
2020,1,entairtainment,1503.93,-299.09,-34.29,0.03,2020 1
2020,1,food_drink,1503.93,-299.09,-87.42,0.07,2020 1
2020,1,other,1503.93,-299.09,-22.64,0.02,2020 1
2020,1,tech,1503.93,-299.09,-92.85,0.07,2020 1
2020,1,travel,1503.93,-299.09,-61.89,0.05,2020 1
2020,2,entairtainment,1503.93,-605.01,-55.41,0.04,2020 2
2020,2,food_drink,1503.93,-605.01,-101.3,0.08,2020 2
2020,2,other,1503.93,-605.01,-38.3,0.03,2020 2
2020,2,rent_ai,1503.93,-605.01,-385.0,0.3,2020 2
2020,2,travel,1503.93,-605.01,-25.0,0.02,2020 2
2020,3,education,1503.93,-1497.2199999999998,-114.24,0.09,2020 3
2020,3,entairtainment,1503.93,-1497.2199999999998,-231.71,0.18,2020 3
2020,3,food_drink,1503.93,-1497.2199999999998,-295.69,0.23,2020 3
2020,3,other,1503.93,-1497.2199999999998,-211.82,0.16,2020 3
2020,3,rent_ai,1503.93,-1497.2199999999998,-385.0,0.3,2020 3
2020,3,tech,1503.93,-1497.2199999999998,-15.0,0.01,2020 3
